heure;RH;Rg_2;Vent;Tmoy
00:00:00;54.20666667;2.852777778;0.098666667;25.6214308
01:00:00;54.575;2.441666667;0.0515;24.75370745
02:00:00;54.91666667;2.452777778;0.078;24.04745728
03:00:00;55.45666667;3.022685185;0.0565;23.54898358
04:00:00;58.07166667;2.556018519;0.046666667;23.07826246
05:00:00;59.015;8.819444445;0.050833333;23.37625774
06:00:00;54.60666667;97.99074074;0.046666667;25.13215728
07:00:00;41.47333333;277.8240741;0.107166667;27.87058578
08:00:00;33.10833333;458.7037037;0.309833333;30.74644352
09:00:00;26.45833333;622.6851852;0.546166667;33.01271848
10:00:00;23.15833333;724.9074074;0.564666667;34.71591615
11:00:00;22.27166667;812.7314815;0.892833333;35.86111801
12:00:00;21.38666667;864.5370371;1.085833333;36.5537683
13:00:00;22.56666667;859.0740741;1.868833333;37.03495431
14:00:00;21.01333333;795.2777778;2.056666667;36.99977982
15:00:00;20.46333333;619.2592593;2.368;36.37721669
16:00:00;25.39;433.2685185;2.544666667;35.30776459
17:00:00;25.485;308.3333333;2.140833333;33.89946432
18:00:00;28.645;156.3009259;1.427333333;32.2982323
19:00:00;36.195;43.80833334;0.914666667;30.49566828
20:00:00;40.575;1.561111111;0.7;29.00479694
21:00:00;43.66833333;3.031944444;0.596;27.87226091
22:00:00;40.90166667;3.231018518;0.448833333;27.06185606
23:00:00;40.205;3.308796296;0.766666667;26.58487695
