"Plant";"TRONC";"ELMNT";"SAR";"RAM";"RANG";"Xabs";"Yabs";"Zabs";"DIAM"
1;"base";1;1;"0";0;-0.199638865783641;-0.291165842058571;20.73;1.87470923785153
1;"0";1;1;"1";0;2.15110796540047;-1.8782667637639;23.54;1.84267820802588
1;"0";1;1;"1";1;1.34706050485515;-0.984506347773888;24.82;1.83591246782415
1;"0";1;1;"1";2;0.394532349322721;-3.24627338107286;30.7;1.77728678398025
1;"0";1;1;"1";3;0.473520886495909;-2.93074079797684;32.26;1.77006315717933
1;"0";1;1;"1";4;1.52043109324423;-5.94087020034582;39.6;1.76614602643043
1;"0";1;1;"p";0;5.60543308487954;4.67017869824737;30.52;0.208292828689128
1;"0";1;1;"F1";0;10.5868884491823;-2.62693733847968;35.03;0
1;"0";1;1;"F2";0;9.32319677066722;-1.82221170719179;31.29;0
1;"0";1;1;"F3";0;9.55529505440372;0.00760532920462609;28.36;0
1;"0";1;1;"F4";0;9.05842357812947;1.51694913896602;26.97;0
1;"0";1;1;"F5";0;6.67726307027376;4.55493772285313;28.58;0
1;"0";1;1;"1";5;0.66802871946519;-6.11381583682113;43.93;1.69986512841618
1;"0";1;1;"p";0;-2.60658399873474;2.55646740802174;42.04;0.18359063231764
1;"0";1;1;"F1";0;-6.07615600074461;2.06192709331607;40.23;0
1;"0";1;1;"F2";0;-6.84922158750969;3.31239484522316;37.8;0
1;"0";1;1;"F3";0;-1.53337595659935;1.36935978935531;34.3;0
1;"0";1;1;"F4";0;2.83967278802767;0.843199474321812;35.88;0
1;"0";1;1;"F5";0;2.30570574233888;-1.08599185732945;40.56;0
1;"0";1;1;"1";6;-1.73255766901072;-10.3164917690653;55.14;1.67858437045788
1;"0";1;1;"p";0;-4.09310569888285;-18.0863510341142;50.1;0.194105591064189
1;"0";1;1;"F1";0;-0.662285643430519;-15.3880416102145;47.53;0
1;"0";1;1;"F2";0;0.988820310697072;-16.7416845203811;44.93;0
1;"0";1;1;"F3";0;-6.01251077446806;-13.698813666089;42.26;0
1;"0";1;1;"F4";0;-6.30925560349144;-13.8650740235044;46.4;0
1;"0";1;1;"F5";0;-5.80893151405327;-15.3023895092374;49.71;0
1;"0";1;1;"1";7;-2.30276221029859;-7.49859063859696;61.13;1.64485820239769
1;"0";1;1;"p";0;-2.44517264016345;3.20125138217445;54.75;0.21151562703307
1;"0";1;1;"F1";0;-5.82993567238966;5.1711191989771;57.59;0
1;"0";1;1;"F2";0;-7.45248255900054;4.62969367247381;51.33;0
1;"0";1;1;"F3";0;-4.27971037283101;4.783045081561;48;0
1;"0";1;1;"F4";0;1.82615231870114;0.958422120777065;50.71;0
1;"0";1;1;"F5";0;3.2784180376241;-0.0830308458235351;54.22;0
