Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;1;1;0;0;-0.128991825694821;0.228738949128668;18.99;1.87470923785153
1;0;1;1;1;0;-0.506034894817373;-1.08150473966615;21.31;1.84267820802588
1;0;1;1;1;1;-0.444322005835875;-0.722768737383759;24.07;1.83591246782415
1;0;1;1;1;2;0.436908793336992;1.05853198921721;25.32;1.77728678398025
1;0;1;1;1;3;1.45309743017666;-0.89335444558322;28.95;1.77006315717933
1;0;1;1;p;0;-7.1685445453749;-2.68055606974531;27.17;0.231905616042756
1;0;1;1;F1;0;-4.75783204763609;-3.98645241067207;28.86;0.0
1;0;1;1;F2;0;-5.32909316215161;-7.68149784192761;24.46;0.0
1;0;1;1;F3;0;-9.63258946881075;-6.69335840916971;21.18;0.0
1;0;1;1;F4;0;-5.3474780886743;-0.308570201262967;21.13;0.0
1;0;1;1;F5;0;-7.27437885298641;1.28512156457299;25.85;0.0
1;0;1;1;1;4;2.49769400058291;0.698442653640009;32.4;1.74380349452293
1;0;1;1;p;0;2.1087962986426;9.24428132385988;27.81;0.169200999161926
1;0;1;1;F1;0;6.53183357779158;9.90059011342344;28.31;0.0
1;0;1;1;F2;0;3.8174629288964;9.34896344581537;21.07;0.0
1;0;1;1;F3;0;1.94457496163964;9.20033416840062;19.58;0.0
1;0;1;1;F4;0;-0.507090676985196;5.76019818324157;23.46;0.0
1;0;1;1;F5;0;0.294539142968212;4.99007505557855;25.82;0.0
1;0;1;1;1;5;2.44840396220512;-0.127675069276476;39.82;1.68636656602368
1;0;1;1;p;0;5.09797037281681;-11.0638854657419;35.04;0.20974858104857
1;0;1;1;F1;0;3.11696967986395;-5.64777650685634;35.54;0.0
1;0;1;1;F2;0;7.42055311810847;-8.71601208941312;27.75;0.0
1;0;1;1;F3;0;7.83430579315903;-11.5318261322591;24.88;0.0
1;0;1;1;F4;0;2.0345975182185;-14.3912638262098;29.99;0.0
1;0;1;1;F5;0;1.76221061782392;-14.4952127391114;35.53;0.0
1;0;1;1;1;6;3.27332593367287;3.12009397130965;46.28;1.67084129665577
1;0;1;1;p;0;8.53428459334158;11.1556159818113;40.13;0.199884656545049
1;0;1;1;F1;0;4.83299714760525;11.5431353284698;43.65;0.0
1;0;1;1;F2;0;1.19726383053092;12.4024625345535;36.13;0.0
1;0;1;1;F3;0;7.14278163148371;14.1390736247385;29.77;0.0
1;0;1;1;F4;0;12.4675387912421;11.7648871978541;32.6;0.0
1;0;1;1;F5;0;11.3025280700112;6.42027776222489;40.36;0.0
1;0;1;1;1;7;1.94210373657863;1.63001093269617;53.87;1.67030035141543
1;0;1;1;p;0;-3.28237055554732;10.9132091084821;45.42;0.193892232256873
1;0;1;1;F1;0;-9.16181050708538;8.62249178496567;47.6;0.0
1;0;1;1;F2;0;-8.43953695291997;8.64040582843114;38.1;0.0
1;0;1;1;F3;0;-1.70152988882011;7.46343479899147;35.14;0.0
1;0;1;1;F4;0;4.56474810677762;9.06179648580947;42.33;0.0
1;0;1;1;F5;0;0.851788632056615;10.3553311544904;48.65;0.0
1;0;1;1;1;8;6.11522499496765;-1.73802394877131;64.0;1.66593787639825
1;0;1;1;p;0;15.9540653412129;-3.2750407479955;55.36;0.184019815020213
1;0;1;1;F1;0;17.453698641332;-9.94832329597545;56.39;0.0
